item name,date,year,month,day,time,quantity,price,holiday,weekend,dbh,dah,tempreture,offer,weather
Beef Meal,1/1/2023,2023,1,1,16:00,33,5,0,1,0,0,23,1,Snow
Beef Sandwitch,1/1/2023,2023,1,1,3:00,23,1,0,1,0,0,19,0,Sunny
Chiken Meal,1/1/2023,2023,1,1,17:00,6,7,0,1,0,0,19,0,Sunny
Chiken Sandwitch,1/1/2023,2023,1,1,19:00,6,5,1,0,0,0,22,1,Rain
Cookies,1/1/2023,2023,1,1,14:00,9,3,0,1,0,1,12,0,Snow
Hot Coffee,1/1/2023,2023,1,1,9:00,4,8,0,1,1,0,23,1,Rain
Ice Cream,1/1/2023,2023,1,1,7:00,9,7,0,0,1,0,33,0,Sunny
Iced Coffee,1/1/2023,2023,1,1,15:00,23,7,0,0,0,1,34,0,Rain
Nuggets,1/1/2023,2023,1,1,11:00,0,2,1,0,0,0,9,0,Cloudy
Orange Juice,1/1/2023,2023,1,1,8:00,1,4,0,1,0,0,12,0,Rain
Beef Meal,2/1/2023,2023,1,2,8:00,9,2,1,0,0,0,19,0,Cloudy
Beef Sandwitch,2/1/2023,2023,1,2,11:00,3,3,0,0,1,0,13,0,Snow
Chiken Meal,2/1/2023,2023,1,2,21:00,12,5,0,0,0,0,8,0,Snow
Chiken Sandwitch,2/1/2023,2023,1,2,19:00,0,4,0,1,0,0,3,0,Snow
Cookies,2/1/2023,2023,1,2,2:00,34,1,0,1,0,0,14,1,Sunny
Hot Coffee,2/1/2023,2023,1,2,21:00,17,4,1,0,1,0,14,1,Snow
Ice Cream,2/1/2023,2023,1,2,20:00,2,2,0,1,0,1,24,1,Sunny
Iced Coffee,2/1/2023,2023,1,2,12:00:00,0,4,0,0,0,0,2,0,Sunny
Nuggets,2/1/2023,2023,1,2,15:00,4,1,0,0,0,0,29,0,Sunny
Orange Juice,2/1/2023,2023,1,2,10:00,8,5,1,0,0,1,40,0,Rain
Beef Meal,3/1/2023,2023,1,3,14:00,45,8,1,0,0,0,21,0,Snow
Beef Sandwitch,3/1/2023,2023,1,3,23:00,21,2,0,1,0,0,3,0,Sunny
Chiken Meal,3/1/2023,2023,1,3,12:00,34,4,0,1,1,1,13,0,Rain
Chiken Sandwitch,3/1/2023,2023,1,3,15:00,1,4,0,0,1,0,23,0,Sunny
Cookies,3/1/2023,2023,1,3,18:00,13,2,0,1,0,0,20,0,Cloudy
Hot Coffee,3/1/2023,2023,1,3,20:00,23,6,1,1,0,0,4,0,Rain
Ice Cream,3/1/2023,2023,1,3,12:00,4,2,0,0,0,0,29,0,Rain
Iced Coffee,3/1/2023,2023,1,3,10:00,128,1,1,1,1,0,42,0,Sunny
Nuggets,3/1/2023,2023,1,3,19:00,55,2,1,0,0,0,19,1,Snow
Orange Juice,3/1/2023,2023,1,3,14:00,53,8,0,0,0,0,34,0,Cloudy
Beef Meal,4/1/2023,2023,1,4,16:00,146,6,0,1,0,0,-2,0,Rain
Beef Sandwitch,4/1/2023,2023,1,4,3:00,55,2,0,1,0,0,22,0,Snow
Chiken Meal,4/1/2023,2023,1,4,17:00,116,1,0,1,0,0,9,0,Rain
Chiken Sandwitch,4/1/2023,2023,1,4,19:00,106,5,0,0,0,0,34,1,Snow
Cookies,4/1/2023,2023,1,4,14:00,144,8,0,1,0,1,25,1,Snow
Hot Coffee,4/1/2023,2023,1,4,9:00,119,4,0,1,1,0,12,0,Sunny
Ice Cream,4/1/2023,2023,1,4,7:00,10,8,0,0,1,0,6,0,Rain
Iced Coffee,4/1/2023,2023,1,4,15:00,10,5,0,0,0,1,0,0,Cloudy
Nuggets,4/1/2023,2023,1,4,11:00,78,5,0,0,0,0,17,0,Cloudy
Orange Juice,4/1/2023,2023,1,5,8:00,78,1,0,1,0,0,37,0,Rain
Beef Meal,5/1/2023,2023,1,5,8:00,29,4,1,0,0,0,1,1,Sunny
Beef Sandwitch,5/1/2023,2023,1,5,11:00,59,8,0,0,1,0,3,1,Cloudy
Chiken Meal,5/1/2023,2023,1,5,21:00,87,1,0,0,0,0,23,1,Rain
Chiken Sandwitch,5/1/2023,2023,1,5,19:00,115,1,0,1,0,0,10,0,Cloudy
Cookies,5/1/2023,2023,1,5,2:00,76,6,1,1,0,0,42,0,Snow
Hot Coffee,5/1/2023,2023,1,5,21:00,34,8,1,0,1,0,4,0,Sunny
Ice Cream,5/1/2023,2023,1,5,20:00,78,4,1,1,0,1,14,0,Sunny
Iced Coffee,5/1/2023,2023,1,5,12:00:00,144,4,0,0,0,0,34,0,Snow
Nuggets,5/1/2023,2023,1,5,15:00,19,2,0,0,0,0,-2,0,Rain
Orange Juice,5/1/2023,2023,1,5,10:00,2,5,0,0,0,1,-1,0,Rain
Beef Meal,6/1/2023,2023,1,6,14:00,128,5,1,0,0,0,32,0,Rain
Beef Sandwitch,6/1/2023,2023,1,6,23:00,122,3,0,1,0,0,13,1,Snow
Chiken Meal,6/1/2023,2023,1,6,12:00,130,2,0,1,1,1,16,1,Sunny
Chiken Sandwitch,6/1/2023,2023,1,6,15:00,101,6,0,0,1,0,-2,0,Sunny
Cookies,6/1/2023,2023,1,6,18:00,74,3,1,1,0,0,36,0,Rain
Hot Coffee,6/1/2023,2023,1,6,20:00,79,2,0,1,0,0,22,0,Rain
Ice Cream,6/1/2023,2023,1,6,12:00,48,8,0,0,0,0,25,0,Snow
Iced Coffee,6/1/2023,2023,1,6,10:00,124,5,0,1,1,0,27,0,Snow
Nuggets,6/1/2023,2023,1,6,19:00,143,1,1,0,0,0,16,1,Cloudy
Orange Juice,6/1/2023,2023,1,6,14:00,112,8,1,0,0,0,35,0,Snow
Beef Meal,7/1/2023,2023,1,7,16:00,114,2,0,1,0,0,11,0,Snow
Beef Sandwitch,7/1/2023,2023,1,7,3:00,21,1,0,1,0,0,6,1,Cloudy
Chiken Meal,7/1/2023,2023,1,7,17:00,101,8,1,1,0,0,38,0,Sunny
Chiken Sandwitch,7/1/2023,2023,1,7,19:00,59,7,0,0,0,0,27,0,Rain
Cookies,7/1/2023,2023,1,7,14:00,39,2,1,1,0,1,0,0,Snow
Hot Coffee,7/1/2023,2023,1,7,9:00,52,5,0,1,1,0,7,0,Rain
Ice Cream,7/1/2023,2023,1,7,7:00,125,1,0,0,1,0,12,1,Snow
Iced Coffee,7/1/2023,2023,1,7,15:00,70,8,0,0,0,1,40,0,Cloudy
Nuggets,7/1/2023,2023,1,7,11:00,131,3,1,0,0,0,14,0,Rain
Orange Juice,7/1/2023,2023,1,7,8:00,57,1,0,1,0,0,17,0,Sunny
Beef Meal,8/1/2023,2023,1,8,8:00,125,4,0,0,0,0,-1,0,Sunny
Beef Sandwitch,8/1/2023,2023,1,8,11:00,91,2,0,0,1,0,24,0,Rain
Chiken Meal,8/1/2023,2023,1,8,21:00,60,2,0,0,0,0,9,1,Rain
Chiken Sandwitch,8/1/2023,2023,1,8,19:00,29,8,1,1,0,0,35,0,Sunny
Cookies,8/1/2023,2023,1,8,2:00,8,6,0,1,0,0,10,0,Cloudy
Hot Coffee,8/1/2023,2023,1,8,21:00,73,5,0,0,1,0,-2,1,Rain
Ice Cream,8/1/2023,2023,1,8,20:00,112,7,1,1,0,1,16,1,Rain
Iced Coffee,8/1/2023,2023,1,8,12:00:00,114,7,0,0,0,0,42,1,Rain
Nuggets,8/1/2023,2023,1,8,15:00,139,7,0,0,0,0,27,0,Rain
Orange Juice,8/1/2023,2023,1,8,10:00,152,8,0,0,0,1,35,0,Sunny
Beef Meal,9/1/2023,2023,1,9,14:00,128,4,1,0,0,0,36,0,Rain
Beef Sandwitch,9/1/2023,2023,1,9,23:00,92,2,0,1,0,0,21,0,Cloudy
Chiken Meal,9/1/2023,2023,1,9,12:00,31,7,0,1,1,1,39,0,Snow
Chiken Sandwitch,9/1/2023,2023,1,9,15:00,19,1,1,0,1,0,22,0,Cloudy
Cookies,9/1/2023,2023,1,9,18:00,47,8,0,1,0,0,-1,0,Rain
Hot Coffee,9/1/2023,2023,1,9,20:00,44,8,0,1,0,0,22,0,Cloudy
Ice Cream,9/1/2023,2023,1,9,12:00,31,4,0,0,0,0,36,0,Sunny
Iced Coffee,9/1/2023,2023,1,9,10:00,49,8,0,1,1,0,22,0,Cloudy
Nuggets,9/1/2023,2023,1,9,19:00,38,7,0,0,0,0,43,1,Rain
Orange Juice,9/1/2023,2023,1,9,14:00,129,8,1,0,0,0,3,1,Rain
Beef Meal,10/1/2023,2023,1,10,16:00,95,7,0,1,1,0,8,0,Rain
Beef Sandwitch,10/1/2023,2023,1,10,3:00,44,2,1,1,1,0,6,0,Cloudy
Chiken Meal,10/1/2023,2023,1,10,17:00,140,1,0,1,0,0,18,0,Snow
Chiken Sandwitch,10/1/2023,2023,1,10,15:00,19,1,1,0,1,0,22,0,Snow
Cookies,10/1/2023,2023,1,10,14:00,66,2,1,0,0,1,40,0,Rain
Hot Coffee,10/1/2023,2023,1,10,9:00,137,6,0,0,0,0,4,0,Cloudy
Ice Cream,10/1/2023,2023,1,10,12:00,31,4,0,0,0,0,36,0,Sunny
Iced Coffee,10/1/2023,2023,1,10,15:00,136,3,0,1,0,1,33,0,Rain
Nuggets,10/1/2023,2023,1,10,19:00,38,7,0,0,0,0,43,0,Snow
Orange Juice,10/1/2023,2023,1,10,8:00,124,7,0,0,0,0,-1,0,Rain
